Brand,Date,Source,Screenname,Display Name,Sentiment,Content,Created Date/Time,Closed Date/Time,Link,Gender,City,State,Country,Retweet Count,Favorite Count,Followers Count,Location,Comments,Likes,Shares,Verified Account,Post Type,Agent Ticket ID,Email Ticket ID,Email Ticket Assigned To,Email Ticket Status,Sub-Source,Ratings,Note1,Note2,Note3,Forums Response Comment,Forums Response By,Forums Response Time,Business Location,App Version,Device Name,Os Version,Others,Category,SubCategory,PostType,Rating,General
PayNearBy,2024-03-31,youtube.com,@aapkaapnachanneljoinkarooa1498,@aapkaapnachanneljoinkarooa1498,Neutral,Sales man dwara retailer ko hi Distibuter bana Dena kisi or any SD ke sath or sales ko apna Target pura karne ke liye kuch bhi package dekar  retailer ko Distibuter bana Dena jise abcd hi yad nahi hai Distibuter ki. Or sales manager ko kyc karne ki bolo to time nahi rahta hai ye hall. Market itna bada hai ki jitna Kam Kiya Jaye utna Kam hai fir bhi mere retailer ko Distibuter bana Dena kaha jayaj hPayNearbyyPAYNEARBY,2024-03-31 09:52:13,,https://www.youtube.com/watch?v=3DaZzMwqzYU&lc=UgyVPxsyGmR9ZtnW0b94AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
,,linkedin,,,Neutral,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Instagram,,,Neutral,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PayNearBy,2024-03-31,Twitter.com.com,NEERAJY98386855,NEERAJ YADAV,,"@PayNearby 
1500 का पेमेंट के बाद ऐजेंट को परेशान होना पड़ता है कोई भी मदद नहीं करता है बार बार कंप्लेंट करो 1 प्रोब्लम सॉल्ब नही होता दूसरा हो जाता है 
कृपया इसपे ध्यान dijiye https://t.co/YdiRKQKQO2",2024-03-31 09:52:08,,https://twitter.com/NEERAJY98386855/status/1774291062925963391,Male,,,,0,0,5,,0,0,0,,Tweet,,,,,,,,,,,,,,,,,,,,,,
PayNearBy,2024-03-31,youtube.com,@aapkaapnachanneljoinkarooa1498,@aapkaapnachanneljoinkarooa1498,Neutral,Sales man dwara retailer ko hi Distibuter bana Dena kisi or any SD ke sath or sales ko apna Target pura karne ke liye kuch bhi package dekar  retailer ko Distibuter bana Dena jise abcd hi yad nahi hai Distibuter ki. Or sales manager ko kyc karne ki bolo to time nahi rahta hai ye hall. Market itna bada hai ki jitna Kam Kiya Jaye utna Kam hai fir bhi mere retailer ko Distibuter bana Dena kaha jayaj hPayNearbyyPAYNEARBY,2024-03-31 09:51:40,,https://www.youtube.com/watch?v=3j-KP8TPvTM&lc=UgwX7eWxq-ppk-YGvfp4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
PayNearBy,2024-03-31,youtube.com,@aapkaapnachanneljoinkarooa1498,@aapkaapnachanneljoinkarooa1498,Neutral,Sales man dwara retailer ko hi Distibuter bana Dena kisi or any SD ke sath or sales ko apna Target pura karne ke liye kuch bhi package dekar  retailer ko Distibuter bana Dena jise abcd hi yad nahi hai Distibuter ki. Or sales manager ko kyc karne ki bolo to time nahi rahta hai ye hall. Market itna bada hai ki jitna Kam Kiya Jaye utna Kam hai fir bhi mere retailer ko Distibuter bana Dena kaha jayaj hPayNearbyyPAYNEARBY,2024-03-31 09:51:16,,https://www.youtube.com/watch?v=so5H48xFyK0&lc=UgzFUjHrU4zoNgTXOSt4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
PayNearBy,2024-03-31,youtube.com,@aapkaapnachanneljoinkarooa1498,@aapkaapnachanneljoinkarooa1498,Neutral,Sales man dwara retailer ko hi Distibuter bana Dena kisi or any SD ke sath or sales ko apna Target pura karne ke liye kuch bhi package dekar  retailer ko Distibuter bana Dena jise abcd hi yad nahi hai Distibuter ki. Or sales manager ko kyc karne ki bolo to time nahi rahta hai ye hall. Market itna bada hai ki jitna Kam Kiya Jaye utna Kam hai fir bhi mere retailer ko Distibuter bana Dena kaha jayaj hPayNearbyyPAYNEARBY,2024-03-31 09:50:59,,https://www.youtube.com/watch?v=73vPUuLW8Oc&lc=Ugwh_BhoGqfewsL2mOx4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
PayNearBy,2024-03-31,youtube.com,@aapkaapnachanneljoinkarooa1498,@aapkaapnachanneljoinkarooa1498,Neutral,Sales man dwara retailer ko hi Distibuter bana Dena kisi or any SD ke sath or sales ko apna Target pura karne ke liye kuch bhi package dekar  retailer ko Distibuter bana Dena jise abcd hi yad nahi hai Distibuter ki. Or sales manager ko kyc karne ki bolo to time nahi rahta hai ye hall. Market itna bada hai ki jitna Kam Kiya Jaye utna Kam hai fir bhi mere retailer ko Distibuter bana Dena kaha jayaj hPayNearbyyPAYNEARBY,2024-03-31 09:50:29,,https://www.youtube.com/watch?v=ky_exRsMyhk&lc=UgyM-sSzbyN-p_pIevx4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
PayNearBy,2024-03-31,youtube.com,@aapkaapnachanneljoinkarooa1498,@aapkaapnachanneljoinkarooa1498,Neutral,Sales man dwara retailer ko hi Distibuter bana Dena kisi or any SD ke sath or sales ko apna Target pura karne ke liye kuch bhi package dekar  retailer ko Distibuter bana Dena jise abcd hi yad nahi hai Distibuter ki. Or sales manager ko kyc karne ki bolo to time nahi rahta hai ye hall. Market itna bada hai ki jitna Kam Kiya Jaye utna Kam hai fir bhi mere retailer ko Distibuter bana Dena kaha jayaj hPayNearbyyPAYNEARBY,2024-03-31 09:49:52,,https://www.youtube.com/watch?v=ky_exRsMyhk&lc=UgxS27zgIBdTMMyv5yh4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
PayNearBy,2024-03-31,youtube.com,@aapkaapnachanneljoinkarooa1498,@aapkaapnachanneljoinkarooa1498,Neutral,Sales man dwara retailer ko hi Distibuter bana Dena kisi or any SD ke sath or sales ko apna Target pura karne ke liye kuch bhi package dekar  retailer ko Distibuter bana Dena jise abcd hi yad nahi hai Distibuter ki. Or sales manager ko kyc karne ki bolo to time nahi rahta hai ye hall. Market itna bada hai ki jitna Kam Kiya Jaye utna Kam hai fir bhi mere retailer ko Distibuter bana Dena kaha jayaj h,2024-03-31 09:48:01,,https://www.youtube.com/watch?v=Qq2tBhfeudo&lc=Ugya0_OqHJOlm5_NVix4AaABAg,,,,,0,0,0,,0,0,0,,Comment,,,,,,,,,,,,,,,,,,,,,,
