"authorFollowersCount","authorFullName","authorProfileId","authorProfileUrl","authorType","commentsCount","image","isRepost","likesCount","postedAtISO","postedAtTimestamp","text","timeSincePosted","title","url","urn"
"297K","Airtel Payments Bank","airtelpaymentsbank","https://www.linkedin.com/company/airtelpaymentsbank/","Company","9","https://media.licdn.com/dms/image/D4D22AQFGNLA68XnGhw/feedshare-shrink_2048_1536/0/1694084024700?e=1712188800&v=beta&t=uA9IdTlMF2A3xa-K1_H_RVynF9BqCpSh9M0pZrFFRbM","false","287","2023-09-07T10:53:47.693Z","1694084027693","#AirtelPaymentsBank is the first bank in India to enable NETC-based payments at EV stations. 
Here is a glimpse of the launch of NETC-based payments at EV stations, an offering by FASTag and IHMCL at the Global Fintech Fest today. 
National Payments Corporation Of India (NPCI) Internet and Mobile Association of India Payments Council of India Fintech Convergence Council
#DigitalFirst #DigitalPayments #GFF2023 #GFF #Innovation #Launch #fastag","6mo",,"https://www.linkedin.com/feed/update/urn:li:activity:7105503413689331712?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7105503413689331712%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7105503413689331712"
"297K","Airtel Payments Bank","airtelpaymentsbank","https://www.linkedin.com/company/airtelpaymentsbank/","Company","3",,"false","155","2023-09-05T08:09:56.464Z","1693901396464","Here’s a glimpse of #AirtelPaymentsBank- India’s fastest growing digital bank showcasing #FaceAuthentication for Aadhaar Enabled Payment System (AePS) in collaboration with National Payments Corporation Of India (NPCI)  at the Global Fintech Fest.

#DigitalFirst #SafestDigitalAccount #FinancialInclusion #Payments #Fintech #GFF2023 #GlobalFintechFest2023 #GFF #AePS

Unique Identification Authority of India (UIDAI) 

Ganesh Ananthanarayanan Vivek Singh Kunal Kalawatia","6mo","Face Authentication For AePS","https://www.linkedin.com/feed/update/urn:li:activity:7104737402795024384?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7104737402795024384%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7104737402795024384"
"297K","Airtel Payments Bank","airtelpaymentsbank","https://www.linkedin.com/company/airtelpaymentsbank/","Company","5","https://media.licdn.com/dms/image/D4D22AQGpVAbyyjxLHQ/feedshare-shrink_2048_1536/0/1694004021328?e=1712188800&v=beta&t=CAfb8tUTrhvgMxQ_C_Vbifiyewzx9IJl_sJjL995TF4","false","230","2023-09-06T12:40:25.601Z","1694004025601","“With the rise of digital India, and smartphones, we’re looking at an India with double the per capita income and new evolving consumer dreams. #PaymentsBanks are the next-gen digital banks, making finances smoother with fully digital bite sized services for every need of the new Indian. Small is the New Big,” said Anubrata Biswas, MD & CEO of #AirtelPaymentsBank during a fireside chat with Ashutosh Sinha at the Global Fintech Fest. 
#DigitalBank #SafestDigitalAccount #FinancialInclusion #Payments #Fintech #GFF2023 #GlobalFintechFest2023 #GFF","6mo",,"https://www.linkedin.com/feed/update/urn:li:activity:7105167860594802688?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7105167860594802688%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7105167860594802688"
"297K","Airtel Payments Bank","airtelpaymentsbank","https://www.linkedin.com/company/airtelpaymentsbank/","Company","4",,"false","229","2023-11-24T10:15:34.620Z","1700820934620","Our MD and CEO, Anubrata Biswas, had an interactive session with a group of motivated and enterprising scholars at Institute of Management Technology, Ghaziabad. He delved into the Bank's unique model and growth trajectory, providing constructive insights and real-world experiences.
Here is a glimpse of the session. 
#AirtelPaymentsBank #DigitalBank #LeadersTalk #YoungBanker
","3mo","Anubrata Biswas at IMT Ghaziabad","https://www.linkedin.com/feed/update/urn:li:activity:7133760049360887808?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7133760049360887808%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7133760049360887808"
"297K","Airtel Payments Bank","airtelpaymentsbank","https://www.linkedin.com/company/airtelpaymentsbank/","Company","0",,"false","68","2023-11-24T08:05:03.108Z","1700813103108","“Customers of tomorrow are priortising simplicity, personalisation, security, and access, when it comes to banking and other financial services. Companies that can offer solutions that address one or more of these needs are likely to build long-term relations with customers,” said Ganesh Ananthanarayanan, Chief Operating Officer of #AirtelPaymentsBank while speaking in a fireside chat at the DATE (Digital Acceleration & Transformation Expo) by Trescon. 

#DigitalBank #FinancialServices #BFSI #Payments #Fintech 
","3mo","Ganesh Ananthanarayanan at the #DATE","https://www.linkedin.com/feed/update/urn:li:activity:7133727201618780160?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7133727201618780160%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7133727201618780160"
"297K","Airtel Payments Bank","airtelpaymentsbank","https://www.linkedin.com/company/airtelpaymentsbank/","Company","0",,"false","70","2023-11-28T05:24:33.588Z","1701149073588","""It's not just about the number of views or reach of a content creator but also about how well their personality aligns with the brand's personality. This is important for building long-term relationships with the audience and brand loyalty. At #AirtelPaymentsBank, we ensure that our content creators reflect our brand values and personality to create a connection with our customers,"" shared Shilpi Kapoor, CMO of Airtel Payments Bank in a panel discussion on 'Indian Video Content - The Power of Cultural Diversity' at the 19th Marketing Conclave, presented by Internet and Mobile Association of India. The panel discussion also had Samir Vora from Dailyhunt and Manika Mittal from BalanceHero India, and was moderated by Siddhant Mazumdar from Mediabrands Content Studio.
#DigitalBank #MarketingLeaders #WomenAtBank #LeadersSpeak #ContentMarketing ","3mo","Shilpi Kapoor at IAMAI's Marketing Conclave","https://www.linkedin.com/feed/update/urn:li:activity:7135136363946913792?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7135136363946913792%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7135136363946913792"
"297K","Airtel Payments Bank","airtelpaymentsbank","https://www.linkedin.com/company/airtelpaymentsbank/","Company","2",,"false","142","2023-05-01T03:33:53.653Z","1682912033653","Market insights reflect that around 47% of residents in urban are scared of their main account getting defrauded and hence, refrain from using digital. At #AirtelPaymentsBank, we offer the safest digital bank account with an additional layer of security. We are registering a strong uptake for this account as these users are opening it as their secondary account, shared Anubrata Biswas, MD and CEO of Airtel Payments Bank while interacting with Ashwin Moduga, Head Research, Mosaic Digital at the TechCircle Finserv Summit. 

#DigitalBank #Innovation #Banking #Security #LeadersTalk #VCCircle ","10mo","Anubrata Biswas at the TechCircle Finserv Summit","https://www.linkedin.com/feed/update/urn:li:activity:7058644674399395840?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7058644674399395840%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7058644674399395840"
"297K","Airtel Payments Bank","airtelpaymentsbank","https://www.linkedin.com/company/airtelpaymentsbank/","Company","8","https://media.licdn.com/dms/image/D5622AQE2UUHVfprhlA/feedshare-shrink_2048_1536/0/1708072641560?e=1712188800&v=beta&t=hf83WaD058b9WH3T6Wc9eoqOe4lGYa7ZAlIjHjNQykc","false","448","2024-02-16T08:37:23.122Z","1708072643122","#InTheNews
While speaking about #AirtelPaymentsBank's growth plans with Financial Express (India) our MD & CEO, Anubrata Biswas said, ""We are seeing a significant uptick in customers applying to us over the last few weeks. Online applications for our digital products, including Savings Account and FASTag, have grown five times each.""

#DigitalFirst #Profitable #FinTech

Read the full story at: https://lnkd.in/gJtRzGxQ
","1w",,"https://www.linkedin.com/feed/update/urn:li:activity:7164175919337721856?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7164175919337721856%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7164175919337721856"
"297K","Airtel Payments Bank","airtelpaymentsbank","https://www.linkedin.com/company/airtelpaymentsbank/","Company","2","https://media.licdn.com/dms/image/D4D22AQHdNNjUFpCI1w/feedshare-shrink_2048_1536/0/1708672017404?e=1712188800&v=beta&t=fJBsMK4tSXbJS9grNAdRw6_78EiUZxzrYPiDdO9-z4w","false","209","2024-02-23T07:06:58.836Z","1708672018836","Join our MD and CEO, Anubrata Biswas, at Razorpay #FTX2024 where he will be sharing his insights during a panel discussion on the ‘Future of Payments’. The event will be held on 23 February 2024 at 3:30 PM IST.
For more details, visit: https://lnkd.in/dgb8HSSR
 #AirtelPaymentsBank #DigitalBank #DigitalPayments #FutureOfPayments
 
 ","4d",,"https://www.linkedin.com/feed/update/urn:li:activity:7166689883292397568?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7166689883292397568%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7166689883292397568"
"297K","Airtel Payments Bank","airtelpaymentsbank","https://www.linkedin.com/company/airtelpaymentsbank/","Company","0",,"false","112","2023-04-13T09:42:24.275Z","1681378944275","Airtel Safe Pay is a promise of safety to keep your money always safe. 
Enable #AirtelSafePay with #AirtelPaymentsBank and ensure that no money leaves your account without your permission.
Switch to the #SafestDigitalAccount for all your daily transactions.
Download the #airtelThanks app today!
#PaymentsSoRewarding #DigitalBank","11mo","What is Safety?","https://www.linkedin.com/feed/update/urn:li:activity:7052214431488835585?updateEntityUrn=urn%3Ali%3Afs_updateV2%3A%28urn%3Ali%3Aactivity%3A7052214431488835585%2CFEED_DETAIL%2CEMPTY%2CDEFAULT%2Cfalse%29","urn:li:activity:7052214431488835585"
